iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,"Feb 11, 2026",,,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,,,,
Shares Outstanding,"47,500,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
KO,COCA-COLA,Consumer Staples,Equity,"85,453,998.60",0.46,"85,453,998.60","1,087,201.00",78.60,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"84,100,664.52",0.45,"84,100,664.52","704,892.00",119.31,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"82,847,157.76",0.44,"82,847,157.76","610,607.00",135.68,United States,NASDAQ,USD,1.00,USD,-
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"82,485,033.52",0.44,"82,485,033.52","350,821.00",235.12,United States,NASDAQ,USD,1.00,USD,-
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"81,082,213.38",0.43,"81,082,213.38","435,294.00",186.27,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WFC,WELLS FARGO,Financials,Equity,"78,305,086.65",0.42,"78,305,086.65","880,327.00",88.95,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"77,554,617.36",0.41,"77,554,617.36","82,104.00",944.59,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"76,266,692.84",0.41,"76,266,692.84","224,393.00",339.88,United States,NASDAQ,USD,1.00,USD,-
ORCL,ORACLE CORP,Information Technology,Equity,"74,067,307.76",0.40,"74,067,307.76","471,286.00",157.16,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
RTX,RTX CORP,Industrials,Equity,"73,514,784.02",0.39,"73,514,784.02","374,102.00",196.51,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"71,003,713.08",0.38,"71,003,713.08","260,268.00",272.81,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"70,985,105.19",0.38,"70,985,105.19","254,509.00",278.91,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"64,736,580.55",0.35,"64,736,580.55","382,717.00",169.15,United States,NASDAQ,USD,1.00,USD,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"64,506,898.22",0.35,"64,506,898.22","199,582.00",323.21,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
GEV,GE VERNOVA INC,Industrials,Equity,"63,083,237.96",0.34,"63,083,237.96","76,588.00",823.67,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LIN,LINDE PLC,Materials,Equity,"61,290,561.00",0.33,"61,290,561.00","131,100.00",467.51,United States,NASDAQ,USD,1.00,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"59,538,865.76",0.32,"59,538,865.76","1,232,944.00",48.29,United States,NASDAQ,USD,1.00,USD,-
C,CITIGROUP INC,Financials,Equity,"58,209,944.52",0.31,"58,209,944.52","495,868.00",117.39,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"57,840,327.86",0.31,"57,840,327.86","1,181,138.00",48.97,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"57,501,154.56",0.31,"57,501,154.56","253,801.00",226.56,United States,NASDAQ,USD,1.00,USD,-
MS,MORGAN STANLEY,Financials,Equity,"56,959,688.52",0.30,"56,959,688.52","322,389.00",176.68,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"55,594,821.03",0.30,"55,594,821.03","105,459.00",527.17,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMGN,AMGEN INC,Health Care,Equity,"55,095,141.10",0.29,"55,095,141.10","150,295.00",366.58,United States,NASDAQ,USD,1.00,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"55,061,957.37",0.29,"55,061,957.37","484,743.00",113.59,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
T,AT&T INC,Communication,Equity,"54,978,189.24",0.29,"54,978,189.24","1,931,092.00",28.47,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
DIS,WALT DISNEY,Communication,Equity,"54,679,960.08",0.29,"54,679,960.08","505,734.00",108.12,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
KLAC,KLA CORP,Information Technology,Equity,"54,396,776.50",0.29,"54,396,776.50","36,767.00","1,479.50",United States,NASDAQ,USD,1.00,USD,-
GILD,GILEAD SCIENCES INC,Health Care,Equity,"54,248,002.00",0.29,"54,248,002.00","348,190.00",155.80,United States,NASDAQ,USD,1.00,USD,-
AXP,AMERICAN EXPRESS,Financials,Equity,"53,417,984.94",0.29,"53,417,984.94","150,894.00",354.01,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NEE,NEXTERA ENERGY INC,Utilities,Equity,"53,256,210.72",0.28,"53,256,210.72","582,927.00",91.36,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BA,BOEING,Industrials,Equity,"49,396,532.02",0.26,"49,396,532.02","209,077.00",236.26,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"49,109,141.64",0.26,"49,109,141.64","340,941.00",144.04,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"48,930,827.24",0.26,"48,930,827.24","98,627.00",496.12,United States,NASDAQ,USD,1.00,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"48,346,050.00",0.26,"48,346,050.00","261,330.00",185.00,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
TJX,TJX INC,Consumer Discretionary,Equity,"47,122,641.00",0.25,"47,122,641.00","312,588.00",150.75,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ADI,ANALOG DEVICES INC,Information Technology,Equity,"46,807,952.00",0.25,"46,807,952.00","138,896.00",337.00,United States,NASDAQ,USD,1.00,USD,-
BLK,BLACKROCK INC,Financials,Equity,"46,195,660.80",0.25,"46,195,660.80","42,660.00","1,082.88",United States,New York Stock Exchange Inc.,USD,1.00,USD,-
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"45,528,122.80",0.24,"45,528,122.80","476,984.00",95.45,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"44,987,492.16",0.24,"44,987,492.16","156,729.00",287.04,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PFE,PFIZER INC,Health Care,Equity,"44,005,984.85",0.24,"44,005,984.85","1,586,945.00",27.73,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UNP,UNION PACIFIC CORP,Industrials,Equity,"43,960,228.70",0.24,"43,960,228.70","167,270.00",262.81,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ETN,EATON PLC,Industrials,Equity,"43,403,938.29",0.23,"43,403,938.29","109,581.00",396.09,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"43,056,193.50",0.23,"43,056,193.50","177,405.00",242.70,United States,NASDAQ,USD,1.00,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"42,676,729.44",0.23,"42,676,729.44","302,586.00",141.04,United States,NASDAQ,USD,1.00,USD,-
DE,DEERE,Industrials,Equity,"41,688,040.29",0.22,"41,688,040.29","68,041.00",612.69,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"40,501,640.40",0.22,"40,501,640.40","287,940.00",140.66,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"40,313,037.21",0.22,"40,313,037.21","174,947.00",230.43,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WELL,WELLTOWER INC,Real Estate,Equity,"39,940,815.92",0.21,"39,940,815.92","192,134.00",207.88,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"39,936,237.03",0.21,"39,936,237.03","562,403.00",71.01,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"39,303,578.16",0.21,"39,303,578.16","9,114.00","4,312.44",United States,NASDAQ,USD,1.00,USD,-
COP,CONOCOPHILLIPS,Energy,Equity,"38,861,333.61",0.21,"38,861,333.61","349,441.00",111.21,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
DHR,DANAHER CORP,Health Care,Equity,"38,702,621.26",0.21,"38,702,621.26","175,937.00",219.98,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NEM,NEWMONT,Materials,Equity,"38,187,532.60",0.20,"38,187,532.60","306,481.00",124.60,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"37,688,046.88",0.20,"37,688,046.88","175,792.00",214.39,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MDT,MEDTRONIC PLC,Health Care,Equity,"36,279,229.28",0.19,"36,279,229.28","358,916.00",101.08,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PLD,PROLOGIS REIT INC,Real Estate,Equity,"36,248,643.08",0.19,"36,248,643.08","259,141.00",139.88,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"36,233,238.40",0.19,"36,233,238.40","57,632.00",628.70,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"36,047,632.20",0.19,"36,047,632.20","218,074.00",165.30,United States,NASDAQ,USD,1.00,USD,-
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"35,193,628.03",0.19,"35,193,628.03","35,341.00",995.83,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
SYK,STRYKER CORP,Health Care,Equity,"35,013,762.70",0.19,"35,013,762.70","96,271.00",363.70,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PGR,PROGRESSIVE CORP,Financials,Equity,"34,208,519.64",0.18,"34,208,519.64","164,172.00",208.37,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"34,128,037.45",0.18,"34,128,037.45","569,465.00",59.93,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CB,CHUBB LTD,Financials,Equity,"33,605,944.68",0.18,"33,605,944.68","102,124.00",329.07,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
